word,TotalCount,2006-2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
clap,8,0,8,0,0,0,0,0,0,0,0,0
arctic,8,0,6,0,0,1,0,0,0,0,1,0
alone,8,0,0,2,2,1,1,0,1,1,0,0
Wallpaper,8,2,1,3,0,0,0,1,0,1,0,0
Source,8,1,6,0,1,0,0,0,0,0,0,0
strip,8,0,6,0,0,0,1,0,0,0,1,0
Service,8,1,5,1,1,0,0,0,0,0,0,0
sis,8,0,1,0,0,2,2,0,0,0,1,2
take,8,0,3,0,0,0,2,0,0,0,3,0
talk,8,2,5,0,1,0,0,0,0,0,0,0
survivor,7,0,5,0,0,0,0,2,0,0,0,0
trick,7,0,7,0,0,0,0,0,0,0,0,0
Side,7,0,4,0,0,0,1,0,0,0,2,0
share,7,0,7,0,0,0,0,0,0,0,0,0
Sunday,7,0,6,1,0,0,0,0,0,0,0,0
spread,7,0,7,0,0,0,0,0,0,0,0,0
well,7,0,1,0,1,1,1,0,0,0,1,2
white,7,0,3,1,0,0,1,2,0,0,0,0
WIRED,7,1,6,0,0,0,0,0,0,0,0,0
zoo,7,0,5,0,0,0,2,0,0,0,0,0
ass,7,0,5,1,0,0,0,0,0,0,0,1
Always,7,0,1,0,1,1,1,0,1,0,0,2
comic,7,0,7,0,0,0,0,0,0,0,0,0
Brain,7,0,7,0,0,0,0,0,0,0,0,0
boss,7,2,3,0,0,0,0,2,0,0,0,0
Creative,7,0,7,0,0,0,0,0,0,0,0,0
die,7,0,4,1,0,2,0,0,0,0,0,0
Desk,7,0,7,0,0,0,0,0,0,0,0,0
End,7,0,5,0,0,0,0,2,0,0,0,0
EPIC,7,0,7,0,0,0,0,0,0,0,0,0
Dream,7,0,5,0,0,0,0,0,0,1,1,0
extreme,7,2,4,0,0,0,0,0,0,1,0,0
find,7,0,4,1,0,0,0,0,0,0,0,2
First,7,0,5,0,0,0,0,0,0,0,1,1
Gig,7,0,1,2,0,3,1,0,0,0,0,0
Neverland,7,0,4,0,2,0,0,0,0,1,0,0
non,7,0,4,0,0,0,0,0,0,1,1,1
nonsense,7,0,7,0,0,0,0,0,0,0,0,0
Pretty,7,0,0,0,1,1,0,3,1,1,0,0
See,7,1,4,0,0,2,0,0,0,0,0,0
