word,machado_fl,mac_morpho_fl,floresta_fl,genesis_fl,unitex-PB_fl,Manual Label
bomb,Y,Y,Y,Y,N,N
bombo,Y,Y,Y,Y,N,N
Bon,N,Y,Y,Y,N,N
bond,N,N,Y,Y,N,N
bonder,Y,Y,Y,Y,N,N
bone,Y,Y,Y,N,N,N
boneless,Y,Y,Y,Y,N,N
bongo,N,N,N,N,Y,Y
bonito,Y,Y,Y,N,Y,Y
bonus,N,N,N,N,N,Y
book,N,N,Y,N,N,N
bookmark,Y,Y,Y,Y,N,N
boom,Y,N,N,Y,N,N
boomerang,Y,Y,Y,Y,N,N
boot,Y,N,Y,Y,N,N
bootleg,Y,Y,Y,Y,N,N
booty,Y,Y,Y,N,N,N
bora,N,N,N,N,N,Y
Boran,N,N,N,N,N,N
borderline,Y,Y,Y,Y,N,N
boreal,Y,N,N,N,Y,Y
boring,Y,Y,Y,Y,N,N
born,Y,Y,Y,N,N,N
borracha,Y,Y,N,N,Y,Y
boss,Y,N,Y,N,N,N
Boston,N,N,N,Y,N,N
bota,Y,Y,N,N,Y,Y
bote,Y,Y,N,Y,Y,Y
Bourbon,N,N,Y,Y,N,N
bowl,Y,Y,Y,Y,N,N
box,N,N,N,N,N,N
boxer,N,N,N,N,N,Y
boy,Y,N,Y,N,N,N
Boyd,Y,Y,Y,Y,N,N
bozo,N,N,N,N,N,Y
bra,N,N,N,N,N,Y
Brad,Y,N,Y,Y,N,N
Brahma,Y,N,N,Y,N,N
Braille,N,Y,N,N,N,Y
brain,Y,N,Y,Y,N,N
Bram,Y,Y,Y,Y,N,N
Brandon,Y,Y,Y,Y,N,N
Brava,N,N,N,N,N,Y
bravo,Y,Y,N,Y,Y,Y
bravura,Y,Y,Y,N,Y,Y
brazil,Y,Y,Y,Y,N,N
Brazilian,Y,N,Y,Y,N,N
breadwinner,Y,Y,Y,Y,N,N
break,N,N,Y,N,N,N
breaking,Y,Y,Y,N,N,N
Brenda,Y,N,Y,Y,N,N
Brett,Y,N,Y,Y,N,N
breve,Y,Y,Y,N,Y,Y
Brian,Y,N,Y,Y,N,N
brick,Y,Y,Y,N,N,N
Bridget,Y,Y,Y,Y,N,N
briefing,Y,Y,Y,Y,N,N
Briggs,Y,Y,Y,Y,N,N
brique,N,N,N,Y,N,Y
brit,Y,Y,Y,Y,N,N
Britain,Y,N,Y,Y,N,N
British,Y,N,Y,Y,N,N
broadway,Y,Y,Y,Y,N,N
Bronx,Y,N,N,Y,N,N
bronze,Y,Y,Y,N,Y,Y
Brooke,Y,N,Y,Y,N,N
brother,Y,Y,Y,N,N,N
brow,Y,Y,Y,Y,N,N
brown,Y,Y,Y,N,N,N
browser,N,N,N,N,N,N
Bruce,Y,N,Y,Y,N,N
Bruno,N,N,N,Y,N,N
brusque,N,N,N,N,Y,Y
brutal,Y,Y,Y,N,Y,Y
Brutus,N,N,Y,Y,N,N
Bryan,N,Y,Y,Y,N,N
bu,Y,N,Y,N,N,N
Bud,Y,Y,Y,Y,N,N
buffalo,Y,Y,Y,Y,N,N
buffet,Y,N,N,N,N,Y
bug,Y,Y,Y,Y,N,N
bugre,N,N,N,N,Y,Y
building,Y,Y,Y,N,N,N
bull,Y,N,Y,Y,N,N
bulldog,N,N,N,N,N,Y
bullying,Y,Y,Y,Y,N,N
bum,Y,Y,Y,N,N,N
Bunda,N,N,N,N,N,Y
bung,N,Y,Y,Y,N,N
bungee,N,N,N,N,N,Y
bunker,Y,Y,Y,Y,N,N
buriti,Y,N,Y,Y,N,N
burke,Y,Y,Y,Y,N,N
burn,Y,Y,Y,N,N,N
burro,Y,Y,N,N,Y,Y
bus,Y,Y,Y,Y,N,N
bush,Y,Y,Y,Y,N,N
business,Y,N,Y,N,N,N
buss,Y,Y,Y,Y,N,N
but,N,Y,Y,N,N,N
Butler,Y,N,Y,Y,N,N
butterfly,Y,Y,Y,Y,N,N
button,Y,Y,Y,Y,N,N
buttons,Y,Y,Y,Y,N,N
buzz,N,N,N,N,N,Y
by,Y,N,Y,N,N,N
bye,Y,N,Y,N,N,N
Byron,N,N,Y,Y,N,N
ca,N,Y,Y,Y,N,N
cabala,N,Y,Y,Y,N,N
cabana,Y,Y,Y,N,Y,Y
cabaret,Y,Y,Y,Y,N,N
caber,Y,Y,N,N,Y,Y
cable,Y,Y,Y,Y,N,N
Caca,N,N,N,N,N,Y
